Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Bromley - Clock House,00AFGK,E05000112,16050,3450,21.6,2.3,6869.6,7.1,16.5,8308,77.7,308750.0,386,41650.0,7186,3.5,20.6,34.1,41.9,67.6,12.6,17.8,11.2,80.9,7.9,8.1,7.7,3.6,1.4,8.7,3.2,36.7,499.0,27.3,338.2,0.7,15.2,46.0,16.2,1.0
Bromley - Copers Cope,00AFGL,E05000113,15950,2500,15.8,3.3,4772.7,7.8,13.3,8569,79.5,315000.0,505,43170.0,8403,10.2,6.7,12.7,70.3,61.1,9.2,27.7,7.8,73.7,18.5,6.8,6.7,2.9,0.9,11.2,2.8,43.6,529.0,11.1,335.5,0.9,12.1,70.5,16.7,1.0
Bromley - Cray Valley East,00AFGM,E05000114,15850,3600,22.7,13.3,1176.7,9.1,22.2,6623,69.3,242000.0,309,32230.0,6876,8.6,39.2,29.6,22.1,61.7,24.7,11.1,10.2,87.0,2.8,16.7,12.5,6.2,2.1,23.5,8.0,51.9,260.0,70.0,296.9,1.7,27.9,102.2,76.2,1.0
Bromley - Cray Valley West,00AFGN,E05000115,17150,4050,23.6,3.9,4371.8,8.4,18.3,6947,67.4,250000.0,228,31740.0,6925,11.4,44.3,26.8,17.6,58.0,33.5,6.1,14.1,77.8,8.2,18.4,14.2,6.8,2.4,24.4,7.9,51.3,219.0,81.8,303.0,1.3,28.5,71.5,23.4,1.1
Bromley - Crystal Palace,00AFGP,E05000116,12950,2700,20.7,2.3,5478.3,9.6,23.8,6215,69.5,250000.0,319,34060.0,6292,2.5,5.7,9.5,82.2,34.8,33.2,29.7,36.0,62.4,1.5,16.2,17.9,6.8,3.0,24.8,7.0,47.8,172.0,100.0,286.7,1.4,16.9,90.0,49.2,0.6
Bromley - Darwin,00AFGQ,E05000117,5300,1000,18.4,29.0,181.0,11.4,15.4,2293,75.0,445000.0,80,42810.0,2169,55.8,20.2,11.9,6.3,82.9,5.5,9.4,6.5,51.4,42.1,6.3,2.7,2.5,0.6,5.2,2.0,36.1,484.0,33.3,337.4,1.2,21.9,43.9,88.5,1.7
Bromley - Farnborough and Crofton,00AFGR,E05000118,14850,2550,17.3,7.0,2121.4,4.4,15.1,6412,75.1,395000.0,245,44590.0,6350,35.4,32.2,19.4,13.0,83.2,8.8,6.7,3.5,58.2,38.3,6.3,3.8,2.4,0.7,5.4,2.2,29.9,608.0,11.1,355.3,0.7,18.1,43.0,48.9,1.3
Bromley - Hayes and Coney Hall,00AFGS,E05000119,16250,3000,18.5,10.8,1500.0,7.4,12.0,7529,76.3,441250.0,240,45660.0,6261,18.6,58.6,9.2,13.6,88.2,3.1,7.8,2.5,62.5,34.9,5.6,2.2,2.0,0.8,3.8,1.7,24.4,620.0,0.0,348.8,0.7,15.7,35.0,68.9,1.4
Bromley - Kelsey and Eden Park,00AFGT,E05000120,16250,3000,18.6,5.2,3105.8,7.1,15.2,7470,75.5,421599.0,265,44700.0,6558,11.0,24.4,42.2,22.4,79.2,8.6,10.6,4.2,68.4,27.3,7.5,4.0,3.0,1.1,5.8,2.1,28.7,547.0,20.0,355.1,0.4,17.1,59.9,42.7,1.3
Bromley - Mottingham and Chislehurst North,00AFGU,E05000121,10300,2400,23.1,2.4,4250.0,11.1,22.7,4313,67.9,250000.0,162,32330.0,4488,6.8,25.4,44.0,23.9,55.4,31.9,10.5,13.3,81.4,5.3,17.6,16.1,6.6,3.4,25.2,8.0,51.3,228.0,85.7,296.1,1.7,26.0,93.0,44.0,1.0
Bromley - Orpington,00AFGW,E05000122,15650,2900,18.5,4.3,3616.3,9.2,19.5,6648,72.8,340000.0,227,38090.0,6487,20.5,50.2,10.3,19.0,74.5,15.8,8.0,4.4,75.6,20.0,11.0,7.1,4.0,1.3,17.1,4.4,46.5,419.0,40.0,328.6,1.0,22.3,89.6,24.6,1.2
Bromley - Penge and Cator,00AFGX,E05000123,17900,3900,21.9,3.0,5883.3,10.4,25.2,8475,70.4,320000.0,314,36090.0,7955,3.3,20.4,24.0,52.4,47.9,29.8,20.3,25.9,66.6,7.5,14.0,14.3,5.2,2.7,18.6,6.2,41.9,284.0,90.9,323.3,1.1,17.0,89.9,24.9,0.8
Bromley - Petts Wood and Knoll,00AFGY,E05000124,13950,2550,18.3,4.3,3220.9,6.1,9.5,6258,75.4,485000.0,237,48530.0,5562,30.0,53.4,7.6,9.0,89.4,2.7,6.9,0.5,48.5,51.0,4.6,1.9,1.6,0.6,3.3,1.5,27.6,628.0,0.0,357.2,0.7,15.2,43.0,24.3,1.4
Bromley - Plaistow and Sundridge,00AFGZ,E05000125,15600,3250,20.9,4.0,3850.0,9.2,14.9,7283,73.5,295444.0,330,39460.0,6874,11.3,25.0,29.7,33.9,65.2,17.4,15.8,8.8,74.0,17.2,11.6,9.4,4.7,1.7,12.6,4.2,41.9,434.0,30.0,327.1,1.0,18.6,48.6,40.3,1.0
Bromley - Shortlands,00AFHA,E05000126,10150,1800,17.7,2.5,4020.0,3.9,11.7,4629,76.3,468000.0,174,48020.0,4305,33.4,19.0,11.7,36.0,79.2,6.2,13.5,3.0,47.6,49.4,5.3,3.6,1.9,0.7,3.7,1.6,27.2,623.0,0.0,381.0,0.3,12.1,33.8,3.0,1.3
Bromley - West Wickham,00AFHB,E05000127,15250,2600,17.1,4.4,3443.2,6.8,12.0,6917,76.8,475000.0,196,46210.0,5862,18.6,46.7,18.4,15.8,86.7,4.4,7.4,3.4,54.9,41.7,5.5,2.4,1.6,0.7,3.1,1.4,20.8,621.0,0.0,369.8,0.3,15.2,33.9,31.8,1.4
Camden - Belsize,00AGGD,E05000128,12800,2300,18.0,0.8,15937.5,10.9,18.7,6670,74.4,850000.0,223,52680.0,6480,1.0,3.6,8.0,87.3,41.4,19.6,37.1,9.8,50.2,40.0,7.8,10.2,3.6,1.4,12.5,3.6,52.7,431.0,50.0,327.6,0.9,8.4,60.9,1.3,0.6
Camden - Bloomsbury,00AGGE,E05000129,11700,750,6.5,1.0,11650.0,12.0,28.3,4639,51.4,560000.0,114,40340.0,5423,0.4,0.4,2.8,96.3,26.4,28.6,41.6,11.3,65.8,22.8,6.0,8.5,3.5,2.3,8.0,1.5,28.2,386.0,66.7,342.9,1.0,7.8,314.1,9.2,0.2
Camden - Camden Town with Primrose Hill,00AGGF,E05000130,13100,1900,14.6,1.2,10791.7,11.6,16.6,6413,69.4,813500.0,189,45840.0,6334,1.0,3.5,15.7,79.7,33.9,30.5,33.4,11.0,55.1,34.0,11.7,13.8,6.0,2.4,22.3,3.7,50.5,269.0,62.5,337.7,0.8,11.7,297.0,15.2,0.5
Camden - Cantelowes,00AGGG,E05000131,12450,1850,14.8,0.8,15375.0,9.0,20.3,5731,64.3,560000.0,115,39060.0,5276,1.2,6.3,9.9,82.5,30.1,40.3,27.7,11.8,70.2,18.0,12.9,15.5,6.7,2.6,22.9,4.7,47.4,206.0,85.7,317.0,0.9,13.9,82.5,7.4,0.4
Camden - Fortune Green,00AGGH,E05000132,12100,1850,15.2,1.0,12000.0,3.5,20.6,6598,74.6,575000.0,185,46800.0,5558,2.9,7.9,11.3,77.9,39.5,16.7,41.8,16.5,60.7,22.8,10.2,11.8,5.1,2.4,15.9,3.5,45.2,392.0,57.1,326.2,1.1,9.2,54.2,18.4,0.6
Camden - Frognal and Fitzjohns,00AGGJ,E05000133,12250,2000,16.3,1.5,8133.3,,,5692,69.8,955000.0,206,60310.0,5292,7.6,7.5,4.6,80.3,49.2,7.1,40.9,6.9,30.3,62.8,4.3,4.0,1.8,0.9,3.8,2.0,41.5,509.0,25.0,357.2,0.8,6.1,56.7,5.7,0.8
Camden - Gospel Oak,00AGGK,E05000134,11500,2100,18.4,0.7,16357.1,10.7,23.4,5031,65.5,599999.0,113,39990.0,5036,1.1,4.1,13.2,81.6,30.5,45.9,21.4,21.9,60.2,17.9,14.5,18.2,8.0,2.7,23.7,6.9,57.5,202.0,85.7,323.4,1.0,17.8,65.8,15.9,0.5
Camden - Hampstead Town,00AGGL,E05000135,11400,1950,17.3,2.5,4540.0,,,5750,76.6,1190000.0,167,62840.0,5548,3.6,10.6,14.5,71.2,50.6,13.4,33.3,5.8,38.8,55.4,4.4,5.1,1.9,0.7,4.5,1.6,33.9,531.0,14.3,384.3,1.1,6.1,82.9,53.9,0.7
Camden - Haverstock,00AGGM,E05000136,12750,2400,18.7,0.7,18000.0,12.0,25.9,5401,62.9,547305.0,146,35730.0,5408,0.8,2.8,9.7,86.7,26.7,49.2,22.0,34.1,52.3,13.6,14.6,19.6,7.9,2.5,29.3,8.1,58.5,171.0,85.7,297.2,1.1,18.6,87.6,8.2,0.4
Camden - Highgate,00AGGN,E05000137,11150,1850,16.4,3.2,3484.4,5.3,13.5,5163,70.4,650000.0,131,47840.0,4981,7.7,9.4,13.9,69.1,46.7,34.1,16.8,7.8,60.3,31.9,11.6,12.9,6.1,2.2,16.1,4.7,47.4,369.0,57.1,316.0,1.0,12.6,81.0,65.2,0.7
Camden - Holborn and Covent Garden,00AGGP,E05000138,13700,1750,12.7,1.2,11250.0,9.0,25.5,6266,61.9,685000.0,135,40180.0,6592,0.3,0.7,3.1,95.9,22.4,42.5,32.2,6.0,65.9,28.2,12.2,15.2,5.5,2.1,23.3,4.2,54.5,227.0,100.0,339.0,1.1,12.9,311.0,7.5,0.3
Camden - Kentish Town,00AGGQ,E05000139,13850,2150,15.4,1.0,13750.0,6.5,19.3,7131,71.3,630100.0,159,41230.0,5916,1.0,5.4,16.7,76.9,34.7,33.3,29.7,15.4,63.7,20.9,11.6,13.0,5.3,2.0,21.8,5.1,54.8,238.0,100.0,305.2,0.8,13.6,89.0,5.3,0.4
Camden - Kilburn,00AGGR,E05000140,12350,2200,17.7,0.7,17500.0,13.4,22.1,5745,66.8,468000.0,165,34730.0,6015,0.8,2.0,5.0,92.2,22.6,42.1,32.8,36.5,55.5,8.1,16.3,23.9,8.5,4.0,31.9,6.7,56.0,131.0,100.0,314.0,0.8,17.4,110.7,13.4,0.4
Camden - King's Cross,00AGGS,E05000141,12550,1600,12.8,0.6,20833.3,10.9,21.2,4277,46.1,625000.0,116,32890.0,4922,0.9,0.9,3.4,94.8,17.6,46.1,33.2,18.8,68.0,13.2,9.1,13.8,4.9,3.3,17.1,5.3,42.6,303.0,100.0,322.0,1.0,12.1,122.4,13.5,0.2
Camden - Regent's Park,00AGGT,E05000142,14700,2200,14.8,1.3,10961.5,12.6,26.1,5474,54.4,600000.0,85,34260.0,5958,0.8,1.9,7.7,89.4,20.4,48.0,29.2,18.7,66.0,15.3,13.6,15.6,5.4,3.1,24.3,5.5,48.1,191.0,87.5,319.8,0.9,17.5,131.3,27.0,0.4
Camden - St. Pancras and Somers Town,00AGGU,E05000143,16200,2850,17.7,1.4,10785.7,12.3,24.5,5173,53.0,465000.0,80,30500.0,5698,0.6,1.5,5.0,92.7,14.3,61.2,20.7,13.3,78.1,8.5,18.5,20.3,7.3,3.6,35.5,8.9,58.1,114.0,100.0,313.6,0.9,22.7,93.5,13.6,0.3
Camden - Swiss Cottage,00AGGW,E05000144,13200,2200,16.8,1.3,10076.9,13.8,22.2,6710,72.3,740500.0,217,50340.0,6210,2.7,3.3,5.0,89.0,40.8,16.5,39.8,7.5,52.5,40.0,7.0,9.0,3.3,1.7,13.4,3.8,58.5,401.0,50.0,305.1,0.9,9.0,70.0,14.5,0.6
Camden - West Hampstead,00AGGX,E05000145,12550,1650,13.1,0.9,13722.2,6.1,16.0,7259,76.2,622500.0,158,46290.0,6056,1.3,3.2,9.6,85.8,32.4,22.2,43.7,12.3,73.0,14.8,9.6,11.9,4.4,2.1,20.5,3.7,48.0,346.0,42.9,328.3,1.0,9.5,77.6,9.4,0.5
Croydon - Addiscombe,00AHGE,E05000146,17750,3550,19.9,1.6,10843.8,10.3,21.6,8956,74.1,250000.0,306,38070.0,7809,3.4,13.6,35.7,47.2,51.7,13.7,32.5,22.1,75.8,2.1,11.5,13.1,4.2,2.1,14.5,4.8,44.7,374.0,70.0,318.3,1.4,15.3,61.0,2.3,0.7
Croydon - Ashburton,00AHGF,E05000147,15150,2950,19.5,2.7,5555.6,11.5,23.2,6863,71.7,347000.0,181,38600.0,5635,10.8,36.8,34.4,18.0,67.1,21.5,9.7,11.2,77.8,11.0,13.1,10.1,4.5,2.3,16.7,5.5,37.8,349.0,33.3,320.1,1.1,19.5,58.1,22.2,1.1
Croydon - Bensham Manor,00AHGG,E05000148,16600,4000,24.1,1.4,11750.0,13.2,24.4,7344,67.5,246250.0,208,33530.0,6075,4.3,14.1,49.1,32.5,57.3,11.9,28.0,20.2,79.4,0.5,11.9,13.7,4.6,3.7,15.3,7.1,40.4,359.0,81.8,311.7,1.3,17.9,64.4,7.8,0.8
Croydon - Broad Green,00AHGH,E05000149,20050,5300,26.4,2.7,7185.2,11.5,25.5,8096,64.6,231000.0,288,31000.0,7187,4.8,18.1,34.1,42.9,41.2,27.5,28.3,20.4,79.3,0.3,17.3,19.8,5.7,3.2,19.4,10.6,51.4,143.0,100.0,309.5,1.6,20.2,151.3,4.6,0.7
Croydon - Coulsdon East,00AHGJ,E05000150,12700,2350,18.4,7.7,1629.9,9.4,17.4,5534,73.9,375000.0,177,42660.0,4993,33.7,40.1,15.4,10.7,80.4,12.5,5.7,3.6,66.5,29.9,8.7,6.2,2.9,1.2,11.4,2.9,36.9,518.0,25.0,335.0,0.9,18.2,34.9,56.8,1.4
Croydon - Coulsdon West,00AHGK,E05000151,14150,2600,18.4,5.0,2770.0,9.6,19.7,6565,75.5,361000.0,224,46610.0,4898,34.8,36.3,17.3,11.6,83.5,4.6,11.0,3.4,56.8,39.8,7.5,4.3,2.5,1.0,5.8,2.6,33.7,532.0,22.2,352.3,0.7,15.1,46.7,17.1,1.5
Croydon - Croham,00AHGL,E05000152,16200,3250,20.2,3.5,4614.3,8.9,19.1,8417,76.5,250000.0,389,42260.0,7218,18.9,15.8,16.2,49.1,60.1,8.3,29.4,11.7,65.9,22.5,9.5,8.5,3.3,1.3,10.5,3.9,41.6,442.0,50.0,341.2,1.2,12.0,57.3,19.1,1.0
Croydon - Fairfield,00AHGM,E05000153,21750,4200,19.2,3.8,5065.8,10.2,24.8,8567,73.1,236000.0,495,39130.0,8361,9.1,7.0,14.5,69.4,39.8,15.5,40.7,14.5,74.2,11.3,11.4,14.6,2.1,2.4,13.1,4.7,45.6,357.0,66.7,317.3,1.5,12.3,215.9,17.5,0.6
Croydon - Fieldway,00AHGN,E05000154,11850,3500,29.6,1.5,7800.0,13.9,24.6,3947,58.5,220000.0,45,26720.0,4053,2.8,25.7,37.1,34.4,33.5,60.6,4.8,34.0,66.0,0.0,23.3,24.5,6.9,4.2,28.1,15.5,52.2,56.0,100.0,276.0,1.9,34.4,61.8,22.9,0.8
Croydon - Heathfield,00AHGP,E05000155,13600,2450,18.2,8.7,1551.7,10.6,17.8,6385,74.3,260000.0,225,39770.0,5513,13.3,30.8,29.2,26.8,75.6,9.3,13.7,12.8,69.7,17.6,10.4,7.6,3.5,1.6,14.8,3.9,36.9,454.0,33.3,309.5,1.3,17.2,70.7,61.3,1.3
Croydon - Kenley,00AHGQ,E05000156,15650,3250,20.9,6.5,2369.2,4.5,14.7,7217,75.0,340000.0,279,44160.0,6019,33.7,29.3,12.4,24.7,74.1,11.4,12.1,3.2,63.7,33.2,8.9,6.7,2.6,1.1,8.7,3.7,36.6,466.0,33.3,330.1,1.1,14.6,35.9,39.6,1.3
Croydon - New Addington,00AHGR,E05000157,11250,2750,24.6,2.4,4604.2,11.3,27.8,4273,64.4,245000.0,86,28770.0,4061,2.6,50.2,21.8,25.2,48.4,42.2,7.7,24.9,75.1,0.0,22.2,18.0,7.2,2.6,26.1,11.4,52.2,116.0,85.7,289.8,2.1,34.8,70.0,31.2,1.0
Croydon - Norbury,00AHGS,E05000158,17100,3550,20.8,2.5,6740.0,11.2,23.5,7506,69.5,350000.0,203,36810.0,6218,8.9,29.2,36.0,25.9,59.8,13.8,23.6,10.6,72.3,17.1,11.3,9.8,3.4,2.4,12.3,6.1,45.3,384.0,66.7,326.8,1.1,16.2,54.2,15.8,1.0
Croydon - Purley,00AHGT,E05000159,15550,3050,19.7,4.2,3607.1,8.1,16.9,7086,74.1,320000.0,253,44600.0,5851,28.0,23.6,14.7,33.7,71.5,7.6,18.2,4.3,58.7,37.0,9.7,6.9,3.3,1.4,8.3,3.8,43.7,462.0,44.4,345.9,0.9,12.9,78.1,3.8,1.2
Croydon - Sanderstead,00AHGU,E05000160,13200,2250,17.0,6.3,2071.4,7.7,12.5,5928,74.9,392500.0,231,47030.0,4962,37.8,44.7,5.2,12.2,85.2,6.7,7.1,1.6,55.8,42.5,6.7,3.4,2.0,1.0,4.9,2.6,37.7,583.0,12.5,346.8,0.8,15.1,29.6,48.6,1.5
Croydon - Selhurst,00AHGW,E05000161,18550,4850,26.2,2.3,7978.3,14.6,27.0,7821,64.7,212997.5,280,31220.0,7770,4.4,16.3,26.7,52.7,39.8,27.1,29.2,31.6,67.5,0.9,19.7,22.3,7.1,4.2,21.2,9.9,46.0,156.0,100.0,316.7,1.6,18.9,95.9,18.3,0.6
Croydon - Selsdon and Ballards,00AHGX,E05000162,12200,1700,13.8,6.4,1882.8,8.8,15.4,5821,76.4,344000.0,196,45320.0,4519,24.4,57.6,11.7,6.3,90.8,2.0,6.3,1.1,65.9,33.0,6.3,2.2,1.9,0.7,5.6,1.7,28.7,600.0,0.0,339.7,0.7,15.2,35.5,55.2,1.5
Croydon - Shirley,00AHGY,E05000163,14700,2900,19.7,2.8,5214.3,9.1,20.0,6476,72.3,320000.0,201,39500.0,5670,15.5,42.3,16.9,25.3,73.7,18.5,6.6,4.4,74.3,21.4,11.3,8.2,3.3,1.7,15.8,5.5,42.1,444.0,22.2,319.2,1.0,19.1,44.1,16.0,1.2
Croydon - South Norwood,00AHGZ,E05000164,16900,3750,22.2,2.4,6979.2,11.6,23.4,7805,68.7,240000.0,338,34430.0,7925,3.8,12.7,19.1,64.5,47.9,20.7,28.9,34.4,62.1,3.5,17.7,18.7,5.9,3.8,20.7,7.3,43.7,214.0,100.0,318.9,1.3,15.9,80.0,17.5,0.7
Croydon - Thornton Heath,00AHHA,E05000165,16900,4300,25.4,1.7,9852.9,13.8,26.7,7275,66.8,250000.0,218,33720.0,6741,4.3,19.7,38.1,37.8,54.1,19.7,24.1,27.2,71.8,1.0,17.3,18.3,5.5,4.3,16.7,8.2,40.0,231.0,100.0,297.8,1.4,18.7,82.0,11.2,0.7
Croydon - Upper Norwood,00AHHB,E05000166,16600,3450,20.8,2.6,6307.7,10.5,23.7,7616,69.7,289750.0,252,37430.0,6638,9.5,28.0,18.0,44.6,55.3,20.6,21.9,24.9,66.1,9.0,14.0,12.3,4.4,2.6,15.2,6.2,41.6,282.0,88.9,318.4,1.3,16.6,70.8,19.4,0.9
Croydon - Waddon,00AHHC,E05000167,17650,4100,23.4,3.6,4847.2,11.1,19.9,7964,69.9,243250.0,288,34630.0,7333,5.9,24.5,23.5,46.1,49.2,25.5,22.8,14.4,81.1,4.5,16.5,15.5,5.4,2.7,20.0,7.5,46.2,232.0,100.0,304.6,1.5,19.1,74.3,32.7,0.8
Croydon - West Thornton,00AHHD,E05000168,18000,4550,25.4,2.0,8925.0,12.6,24.8,7397,64.6,235000.0,146,32400.0,6254,5.4,19.1,45.3,30.1,53.6,15.7,27.0,17.8,81.4,0.8,14.1,16.6,5.7,3.3,16.4,9.1,45.4,310.0,81.8,317.7,1.4,17.9,90.3,18.7,0.8
Croydon - Woodside,00AHHE,E05000169,17100,4200,24.7,2.2,7727.3,11.6,23.6,7821,69.0,250000.0,296,33890.0,7121,3.7,16.1,45.0,35.2,53.1,19.8,24.1,18.9,80.4,0.7,16.5,16.7,4.7,3.5,20.8,8.5,44.1,242.0,90.0,299.3,1.3,17.1,65.0,33.3,0.8
Ealing - Acton Central,00AJGC,E05000170,15850,3150,20.0,1.8,8750.0,11.1,19.4,7576,69.4,570000.0,167,36500.0,6480,3.6,23.4,12.9,60.1,40.3,23.3,33.8,12.8,67.4,19.8,13.8,16.5,5.8,4.0,15.9,5.9,48.1,265.0,88.9,335.7,1.0,14.3,77.9,24.2,0.7
Ealing - Cleveland,00AJGD,E05000171,14850,3200,21.7,2.2,6750.0,10.0,19.2,6625,68.6,500000.0,174,41730.0,5837,4.1,22.7,22.1,51.1,54.2,21.5,21.7,11.9,58.2,29.9,12.2,12.8,4.9,3.2,14.5,5.7,48.0,299.0,44.4,338.9,0.8,13.1,47.8,34.7,0.9
Ealing - Dormers Wells,00AJGE,E05000172,14150,3150,22.4,2.3,6152.2,14.0,23.4,5600,61.0,265000.0,56,29350.0,4441,5.3,26.9,27.1,40.6,49.1,28.4,19.2,33.1,66.9,0.0,14.0,14.5,4.9,4.3,16.4,8.3,53.9,140.0,100.0,308.5,0.7,23.5,54.0,47.3,1.0
Ealing - Ealing Broadway,00AJGF,E05000173,15550,2300,14.6,1.9,7868.4,6.2,15.1,7745,75.1,459970.0,270,45540.0,6428,10.4,12.1,7.3,70.1,43.4,11.0,42.4,8.0,62.5,29.5,9.2,8.7,3.1,1.9,7.7,2.9,43.4,416.0,37.5,349.3,0.8,7.3,145.7,6.1,0.8
Ealing - Ealing Common,00AJGG,E05000174,14200,2250,15.7,2.1,6809.5,9.9,21.0,7687,74.6,536000.0,169,43600.0,6023,8.7,18.3,15.7,57.3,46.8,14.6,36.4,4.7,69.4,25.9,9.1,10.1,3.7,2.0,11.9,3.7,49.4,360.0,88.9,338.9,1.1,10.8,68.9,22.2,0.9
Ealing - East Acton,00AJGH,E05000175,19800,3950,19.8,4.3,4523.3,11.1,26.1,9269,68.3,390500.0,224,32930.0,7358,3.5,20.1,16.2,59.9,36.0,22.1,34.1,13.6,74.0,12.4,14.6,13.7,4.8,3.5,21.2,7.7,53.4,241.0,100.0,305.9,1.3,15.0,103.7,19.6,0.7
Ealing - Elthorne,00AJGJ,E05000176,15100,3150,21.0,2.0,7450.0,11.0,22.6,7500,73.1,408750.0,190,38970.0,6252,2.5,15.9,29.5,52.0,48.2,20.2,27.8,8.3,85.4,6.3,13.3,14.7,4.9,3.3,13.2,4.8,43.7,258.0,75.0,313.4,1.0,15.1,77.5,34.2,0.8
Ealing - Greenford Broadway,00AJGK,E05000177,17750,4400,24.7,2.5,7120.0,13.7,23.6,7668,66.4,249000.0,160,30500.0,6532,5.0,22.1,20.9,51.6,47.6,23.4,24.5,14.7,84.4,0.9,14.9,15.0,5.1,3.2,19.2,8.5,53.2,193.0,100.0,315.4,1.0,21.9,81.2,26.2,0.9
Ealing - Greenford Green,00AJGL,E05000178,14500,3100,21.2,3.4,4264.7,9.1,24.5,7003,72.6,307000.0,135,35420.0,5138,4.8,39.1,26.7,29.4,63.1,9.7,25.1,6.5,92.5,1.0,9.9,8.8,3.7,1.9,10.1,4.2,40.5,393.0,62.5,324.9,0.7,17.8,74.8,22.6,1.1
Ealing - Hanger Hill,00AJGM,E05000179,15750,3000,19.1,3.3,4787.9,7.1,18.4,7640,71.9,519000.0,209,44760.0,6334,11.4,20.7,19.7,48.2,54.2,4.7,38.1,5.6,57.5,36.9,7.3,7.7,2.3,1.9,8.0,3.5,46.1,495.0,44.4,330.2,1.0,9.2,60.4,26.7,1.0
Ealing - Hobbayne,00AJGN,E05000180,14300,3250,22.5,2.2,6522.7,11.4,18.6,6644,70.6,386250.0,124,36220.0,5410,4.8,26.0,33.0,36.2,54.0,25.2,19.0,4.5,89.8,5.7,13.9,14.3,5.2,3.2,15.8,6.0,44.4,331.0,66.7,328.0,0.9,18.2,44.2,36.1,0.9
Ealing - Lady Margaret,00AJGP,E05000181,14100,2750,19.7,1.5,9433.3,12.9,23.6,6368,66.6,285000.0,64,32520.0,4082,6.7,26.4,54.8,12.2,69.4,7.3,21.3,7.2,92.8,0.0,10.8,7.9,4.0,2.6,12.8,4.7,48.0,350.0,75.0,337.1,0.8,19.8,46.2,19.4,1.3
Ealing - Northfield,00AJGQ,E05000182,13700,2700,19.6,1.5,9133.3,5.3,13.1,7455,78.6,615000.0,182,48480.0,5391,2.9,17.8,45.3,34.0,66.3,6.7,25.6,3.4,80.6,16.0,5.7,5.9,2.1,1.2,6.3,1.7,31.4,540.0,12.5,379.5,0.3,8.7,44.5,25.6,0.9
Ealing - North Greenford,00AJGR,E05000183,14900,3050,20.5,3.2,4656.3,8.8,24.8,7263,72.3,345000.0,116,36480.0,4972,4.4,35.0,40.2,20.2,66.5,8.3,22.9,7.8,91.8,0.4,8.5,7.0,2.8,2.0,10.7,4.1,42.5,436.0,25.0,323.2,0.9,16.9,51.8,53.3,1.2
Ealing - Northolt Mandeville,00AJGS,E05000184,15350,3600,23.4,2.8,5482.1,12.1,24.9,6724,67.3,300000.0,132,31950.0,5708,3.7,29.6,25.3,40.8,53.3,24.2,19.4,14.6,84.7,0.7,15.3,14.6,5.0,3.4,20.1,8.6,51.3,226.0,88.9,302.8,1.0,21.5,63.3,34.5,0.9
Ealing - Northolt West End,00AJGT,E05000185,15200,3950,26.0,3.5,4371.4,14.1,21.9,6057,61.9,226111.0,131,28550.0,5718,3.0,26.4,17.4,53.1,43.0,34.5,19.2,29.4,70.5,0.2,18.5,19.4,5.9,4.4,23.1,10.6,55.0,112.0,100.0,319.9,1.1,25.1,67.5,56.3,0.9
Ealing - Norwood Green,00AJGU,E05000186,14200,2950,20.8,3.8,3750.0,12.3,23.1,5521,57.3,257500.0,70,29020.0,4336,10.8,26.4,19.7,42.2,42.6,34.7,17.7,25.9,61.0,13.2,18.0,14.0,6.9,4.2,21.2,8.7,54.1,65.0,100.0,309.1,1.1,21.8,91.1,54.5,1.1
Ealing - Perivale,00AJGW,E05000187,15450,3200,20.6,3.4,4573.5,11.6,24.4,7544,71.4,367500.0,118,36040.0,5447,3.9,33.3,39.1,23.7,62.3,8.5,27.0,5.5,94.3,0.2,10.3,9.3,3.3,1.9,11.6,4.2,42.2,408.0,44.4,339.8,0.8,17.4,73.3,38.3,1.1
Ealing - South Acton,00AJGX,E05000188,16200,3350,20.6,1.7,9205.9,11.6,26.9,6938,68.1,440000.0,151,34300.0,6227,3.7,14.9,8.2,73.2,32.8,33.9,29.2,31.0,51.2,17.8,13.1,17.5,5.6,3.8,19.0,6.5,54.7,246.0,88.9,320.7,1.0,16.2,88.7,17.5,0.7
