Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Lambeth - Ferndale,00AYGE,E05000421,16400,2050,12.5,0.9,17555.6,15.2,32.6,9406,77.0,497475.0,240,39480.0,6710,1.6,3.3,15.8,79.3,26.5,37.4,34.2,30.4,63.5,6.1,12.4,13.7,4.5,3.0,25.2,5.2,51.8,187.0,100.0,313.0,0.9,13.3,145.6,10.3,0.4
Lambeth - Gipsy Hill,00AYGF,E05000422,13900,3150,22.7,1.6,8625.0,13.3,27.5,6633,69.7,350000.0,283,36650.0,6102,2.7,15.0,20.4,61.9,37.2,36.6,24.1,24.7,71.2,4.1,16.8,19.3,6.6,4.1,24.0,8.0,47.9,194.0,88.9,314.3,1.2,18.4,79.6,25.7,0.6
Lambeth - Herne Hill,00AYGG,E05000423,15600,2950,19.0,2.0,7700.0,9.9,19.5,8459,75.3,432500.0,204,41700.0,6688,2.8,9.3,20.6,67.2,37.2,31.8,29.0,25.0,63.0,11.9,14.4,13.6,4.3,3.3,16.4,5.1,45.0,208.0,87.5,324.5,1.1,12.2,92.4,37.9,0.5
Lambeth - Knight's Hill,00AYGH,E05000424,15200,3450,22.6,1.5,9966.7,9.1,21.3,6876,68.8,355000.0,227,36950.0,6249,3.5,20.2,19.0,57.2,42.9,30.6,24.8,20.4,72.3,7.2,17.3,16.5,5.4,4.0,20.0,7.5,46.5,169.0,100.0,322.1,1.2,15.9,74.6,13.3,0.6
Lambeth - Larkhall,00AYGJ,E05000425,18000,2900,16.0,1.1,16181.8,10.8,28.6,9777,73.5,430000.0,249,37260.0,7304,1.7,3.5,11.1,83.7,25.0,41.4,30.3,36.4,57.9,5.7,14.0,14.8,4.4,3.6,25.0,7.2,50.4,175.0,100.0,308.9,1.1,13.9,92.8,20.0,0.4
Lambeth - Oval,00AYGK,E05000426,16600,2300,13.7,1.3,12269.2,9.9,25.2,8847,74.3,699995.0,276,39200.0,7343,0.8,1.8,10.1,87.3,26.2,34.8,34.7,30.4,51.0,18.6,12.2,13.5,4.3,2.9,22.2,4.8,47.1,197.0,100.0,321.5,0.9,13.0,127.4,24.9,0.4
Lambeth - Prince's,00AYGL,E05000427,15400,2550,16.5,1.2,12458.3,10.0,23.9,7480,71.1,495000.0,213,37600.0,7118,0.7,1.7,12.1,85.5,27.2,47.1,20.4,35.9,49.3,14.7,16.1,17.8,5.4,3.9,24.1,6.5,47.6,157.0,100.0,333.5,0.9,16.3,119.3,20.7,0.4
Lambeth - St. Leonard's,00AYGM,E05000428,15200,2800,18.3,1.4,10642.9,8.8,20.9,8292,75.6,340000.0,415,39880.0,6549,5.7,10.9,13.3,70.0,39.7,14.0,44.7,20.1,64.9,15.1,13.0,13.7,4.5,3.0,14.7,4.4,45.5,165.0,100.0,341.1,1.3,12.6,104.0,12.1,0.6
Lambeth - Stockwell,00AYGN,E05000429,15250,2800,18.4,0.9,16777.8,15.0,25.7,7863,71.2,391375.0,124,35050.0,6582,1.6,3.3,8.5,86.5,24.8,45.0,27.3,43.2,49.1,7.8,14.8,16.8,5.1,3.6,25.5,7.1,49.4,177.0,100.0,313.7,1.0,16.2,83.7,13.2,0.4
Lambeth - Streatham Hill,00AYGP,E05000430,15150,2700,18.0,1.3,11307.7,13.2,20.9,7798,74.6,359000.0,278,39250.0,6220,2.7,15.3,11.0,71.0,41.1,24.9,32.1,22.4,66.4,11.1,11.4,13.4,4.5,3.0,15.9,5.0,44.3,247.0,88.9,316.5,1.2,13.5,76.9,14.1,0.6
Lambeth - Streatham South,00AYGQ,E05000431,14750,2950,20.0,1.7,8558.8,9.5,23.9,6900,70.4,375000.0,181,36710.0,5556,5.7,19.8,40.2,34.4,53.0,15.5,28.8,10.5,78.7,10.8,13.3,11.6,4.3,3.4,16.0,5.8,41.1,268.0,100.0,327.7,1.1,17.0,74.9,26.0,0.8
Lambeth - Streatham Wells,00AYGR,E05000432,15250,3050,19.8,1.5,10066.7,9.6,20.9,8008,74.2,345875.0,298,38270.0,6588,4.0,14.5,11.6,69.9,41.5,20.8,35.0,20.8,70.2,9.0,12.4,13.0,4.2,2.9,17.6,5.6,43.4,240.0,100.0,311.0,1.3,13.9,72.7,18.3,0.6
Lambeth - Thornton,00AYGS,E05000433,14000,2800,19.9,1.1,12045.5,9.7,26.6,6647,74.3,511250.0,166,41880.0,5131,2.9,5.9,19.1,72.0,38.2,39.1,21.2,31.1,59.9,9.1,11.3,12.2,3.9,2.4,16.9,6.4,48.2,254.0,87.5,319.2,1.1,14.2,55.2,22.4,0.6
Lambeth - Thurlow Park,00AYGT,E05000434,13800,3150,22.7,1.5,9133.3,8.9,18.2,7074,74.0,412747.5,220,41600.0,6023,3.2,13.6,22.9,60.2,41.9,27.1,29.3,19.9,66.3,13.8,13.0,13.2,4.3,2.8,16.4,5.6,45.7,298.0,71.4,304.8,1.3,12.7,73.2,19.7,0.7
Lambeth - Tulse Hill,00AYGU,E05000435,16250,3300,20.3,1.0,16000.0,13.6,27.1,8054,70.5,417000.0,167,35610.0,6758,1.5,6.1,16.9,75.4,29.2,43.2,24.8,40.8,52.2,7.0,16.5,17.3,4.9,4.6,25.5,8.4,48.7,132.0,100.0,292.0,1.2,14.7,80.3,16.6,0.5
Lambeth - Vassall,00AYGW,E05000436,15600,2600,16.5,1.1,13590.9,15.4,27.7,7157,67.6,395000.0,313,34830.0,6290,2.7,6.1,14.0,77.2,23.2,53.2,22.0,31.1,62.4,6.5,17.8,19.2,6.1,5.0,25.3,7.2,46.0,104.0,100.0,317.3,1.2,16.0,81.0,16.8,0.4
Lewisham - Bellingham,00AZGD,E05000437,15300,3700,24.1,3.1,4854.8,11.9,28.2,6198,64.9,265000.0,147,31340.0,6178,2.9,21.3,31.9,43.9,40.1,44.0,13.9,39.7,60.1,0.2,20.3,21.8,7.7,4.7,25.5,9.5,46.4,98.0,100.0,294.5,1.5,25.4,94.0,46.7,0.7
Lewisham - Blackheath,00AZGE,E05000438,15000,2700,18.1,2.3,6304.3,9.6,22.6,7360,74.1,385000.0,229,44870.0,6571,4.3,8.6,17.1,69.9,43.2,28.8,27.0,23.3,61.3,15.4,10.1,11.6,3.6,2.5,15.5,4.3,40.6,278.0,88.9,295.6,1.4,13.2,83.9,34.6,0.7
Lewisham - Brockley,00AZGF,E05000439,18550,2950,15.8,1.7,10558.8,9.8,24.8,9571,71.3,330000.0,311,38100.0,7595,2.0,6.4,19.7,71.9,31.5,30.1,35.7,43.2,54.2,2.6,12.6,13.7,4.4,2.9,21.3,4.6,39.6,196.0,100.0,312.0,1.4,11.8,78.8,13.3,0.5
Lewisham - Catford South,00AZGG,E05000440,15650,3200,20.6,1.9,8157.9,10.5,23.5,7172,70.2,332500.0,226,39070.0,5801,2.8,25.4,41.3,30.4,65.8,12.6,19.9,14.8,78.8,6.3,12.8,10.1,4.3,3.1,13.4,4.9,36.4,335.0,100.0,311.4,1.0,17.3,44.8,3.0,0.9
Lewisham - Crofton Park,00AZGH,E05000441,15350,3200,20.8,1.7,8882.4,6.8,19.6,7876,73.9,455000.0,275,42560.0,6411,3.2,13.3,40.4,43.1,55.0,16.8,25.8,18.7,80.7,0.6,11.3,10.4,4.6,2.3,13.9,4.2,39.4,319.0,88.9,314.4,1.0,15.3,58.4,20.7,0.7
Lewisham - Downham,00AZGJ,E05000442,15000,3500,23.4,2.4,6145.8,12.2,26.7,5793,63.6,242500.0,185,30880.0,6151,3.7,17.7,55.6,23.0,44.2,40.9,13.1,18.8,80.1,1.1,20.8,20.1,7.9,4.2,26.9,9.3,49.2,88.0,100.0,290.5,1.5,30.2,78.9,30.1,0.7
Lewisham - Evelyn,00AZGK,E05000443,18550,4250,22.9,1.8,9777.8,13.4,27.0,7482,63.7,315000.0,261,30560.0,7043,2.0,5.0,13.4,79.7,16.7,57.3,21.4,60.7,39.2,0.1,18.0,21.4,5.4,4.2,27.3,10.6,51.1,87.0,100.0,305.2,1.4,19.1,69.6,22.6,0.4
Lewisham - Forest Hill,00AZGL,E05000444,15300,3300,21.5,1.8,8388.9,9.0,22.0,7528,73.6,340000.0,303,40960.0,6661,5.9,14.3,14.4,65.3,47.4,26.4,24.5,34.6,57.5,7.9,14.1,13.0,4.9,3.2,15.6,5.5,40.9,262.0,100.0,333.0,1.1,13.9,69.9,22.2,0.7
Lewisham - Grove Park,00AZGM,E05000445,15100,3100,20.5,2.4,6208.3,10.6,24.2,6764,69.3,250000.0,256,36150.0,6325,4.2,25.7,32.8,37.3,53.5,26.7,17.9,23.5,72.5,4.0,14.9,14.7,4.9,3.6,17.7,6.5,46.8,229.0,77.8,308.2,1.5,22.5,50.6,21.6,0.9
Lewisham - Ladywell,00AZGN,E05000446,15200,2750,17.9,1.6,9281.3,7.3,26.8,7447,70.5,370000.0,217,40290.0,5869,2.5,14.6,35.0,47.9,49.3,23.6,25.2,24.0,73.3,2.8,11.7,10.7,4.1,2.6,17.4,4.5,38.7,322.0,100.0,319.5,1.2,12.8,55.0,25.7,0.7
Lewisham - Lee Green,00AZGP,E05000447,15050,3000,20.0,1.8,8222.2,8.6,18.8,7639,75.1,402500.0,258,42760.0,6480,3.9,13.7,34.1,48.2,53.7,21.2,23.4,30.0,64.7,5.4,12.4,11.0,3.9,2.3,14.5,4.0,40.2,304.0,100.0,334.2,1.0,14.6,60.9,11.7,0.7
Lewisham - Lewisham Central,00AZGQ,E05000448,20250,4050,20.0,2.1,8976.2,12.0,25.3,8895,69.6,290000.0,446,35760.0,7940,2.2,7.3,20.9,69.6,35.1,27.4,33.7,47.6,51.6,0.8,16.6,17.1,5.7,3.4,23.1,6.8,50.5,149.0,100.0,303.4,1.3,16.1,134.9,13.8,0.5
Lewisham - New Cross,00AZGR,E05000449,17650,3550,20.0,1.8,9305.6,15.6,27.5,7520,64.6,242000.0,217,31520.0,6719,2.3,5.6,18.9,73.1,25.4,40.5,31.6,57.6,42.2,0.1,14.3,18.5,5.3,4.4,24.3,8.0,47.1,145.0,100.0,299.0,1.2,17.9,108.5,16.5,0.5
Lewisham - Perry Vale,00AZGS,E05000450,16050,3350,20.8,1.7,9323.5,9.7,24.0,7946,72.9,355000.0,325,39130.0,6858,3.7,11.7,28.3,56.3,48.1,26.5,23.0,31.3,64.0,4.7,14.0,13.9,4.9,3.2,18.7,6.5,47.5,221.0,100.0,313.5,1.1,16.2,54.6,9.7,0.7
Lewisham - Rushey Green,00AZGT,E05000451,16650,3800,22.7,1.8,8777.8,13.7,20.1,6818,66.2,270000.0,194,34670.0,6378,3.3,10.8,28.1,57.8,41.4,26.9,30.3,32.7,66.3,1.0,19.4,18.7,7.0,4.5,18.6,7.2,46.6,134.0,100.0,300.7,1.1,18.0,118.7,24.0,0.6
Lewisham - Sydenham,00AZGU,E05000452,16150,3350,20.7,1.7,9352.9,10.6,27.5,7327,69.1,350000.0,220,37060.0,6971,2.9,10.9,23.5,62.6,42.9,34.7,20.8,30.9,65.4,3.7,16.0,17.2,5.5,4.1,23.1,6.3,40.7,158.0,100.0,308.2,1.4,18.7,73.2,13.1,0.7
Lewisham - Telegraph Hill,00AZGW,E05000453,17250,3250,18.8,1.5,11233.3,11.3,23.4,8512,70.6,360000.0,185,37230.0,7020,2.4,8.6,22.8,66.1,31.7,36.6,29.2,39.9,54.3,5.8,14.4,15.3,5.0,3.0,19.4,6.1,40.9,203.0,100.0,312.8,0.8,14.4,51.1,16.5,0.6
Lewisham - Whitefoot,00AZGX,E05000454,15050,3650,24.2,2.2,6659.1,12.6,24.9,5802,64.8,248000.0,193,32840.0,5646,5.4,23.2,40.0,31.1,49.2,34.5,14.7,21.5,78.3,0.2,18.6,18.2,6.2,4.0,23.2,9.2,44.8,137.0,100.0,302.2,1.4,25.9,70.4,27.9,0.8
Merton - Abbey,00BAFX,E05000455,10600,1950,18.6,1.4,7607.1,4.1,14.7,6284,80.3,482500.0,189,45370.0,4700,2.0,8.6,38.2,51.1,48.5,14.1,35.7,10.9,83.2,5.9,6.2,8.3,5.4,1.9,11.0,2.6,43.7,510.0,33.3,332.4,0.7,10.1,71.6,12.8,0.7
Merton - Cannon Hill,00BAFY,E05000456,9500,1700,17.9,2.2,4340.9,6.2,22.0,4665,75.9,455000.0,131,42320.0,3529,2.0,31.9,51.6,14.4,79.9,5.5,13.4,5.4,89.2,5.4,6.3,4.2,2.2,1.0,7.1,1.9,31.7,597.0,16.7,364.2,0.6,17.0,35.4,42.7,1.2
Merton - Colliers Wood,00BAFZ,E05000457,11250,1900,16.7,1.1,10181.8,10.5,17.3,6385,76.7,350000.0,180,38780.0,4538,3.0,15.2,26.3,55.5,48.7,12.6,36.8,25.5,74.3,0.2,7.5,7.5,3.2,1.6,12.6,2.8,36.9,435.0,33.3,335.4,1.1,13.3,79.1,14.6,0.7
Merton - Cricket Green,00BAGA,E05000458,11800,2850,24.1,3.0,3933.3,11.9,24.0,4967,65.7,245000.0,105,29930.0,4402,4.2,14.3,34.3,47.1,41.7,36.9,18.5,30.9,67.1,2.0,14.7,17.6,5.4,4.2,20.9,7.5,44.0,275.0,85.7,296.0,1.2,24.5,78.5,50.0,0.7
