Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Bromley - Bickley,00AFGD,E05000106,15450,3000,19.4,4.9,3132.7,7.3,12.5,76,480000,47190,14.5,36.5,21.5,1.4
Bromley - Biggin Hill,00AFGE,E05000107,10250,1850,18,8.3,1222.9,8,14.1,79.2,269950,40930,18.3,44.8,72.7,1.7
Bromley - Bromley Common and Keston,00AFGF,E05000108,16250,3350,20.7,8.3,1897.6,10.5,17.8,73.2,350000,40510,20.5,53,58.6,1.3
Bromley - Bromley Town,00AFGG,E05000109,18600,3900,20.8,3.7,4797.3,5.8,13.3,78.6,327000,43460,13.1,139,17.6,1
Bromley - Chelsfield and Pratts Bottom,00AFGH,E05000110,14800,2800,19.1,12.6,1166.7,4.2,11.3,77.3,400000,44850,16.4,40.3,68.4,1.5
Bromley - Chislehurst,00AFGJ,E05000111,15400,2900,18.7,10.4,1461.5,6,15.5,75.1,395000,46250,15.8,55.2,59.1,1.4
Bromley - Clock House,00AFGK,E05000112,16050,3450,21.6,2.3,6869.6,7.1,16.5,77.7,308750,41650,15.2,46,16.2,1
Bromley - Copers Cope,00AFGL,E05000113,15950,2500,15.8,3.3,4772.7,7.8,13.3,79.5,315000,43170,12.1,70.5,16.7,1
Bromley - Cray Valley East,00AFGM,E05000114,15850,3600,22.7,13.3,1176.7,9.1,22.2,69.3,242000,32230,27.9,102.2,76.2,1
Bromley - Cray Valley West,00AFGN,E05000115,17150,4050,23.6,3.9,4371.8,8.4,18.3,67.4,250000,31740,28.5,71.5,23.4,1.1
Bromley - Crystal Palace,00AFGP,E05000116,12950,2700,20.7,2.3,5478.3,9.6,23.8,69.5,250000,34060,16.9,90,49.2,0.6
Bromley - Darwin,00AFGQ,E05000117,5300,1000,18.4,29,181,11.4,15.4,75,445000,42810,21.9,43.9,88.5,1.7
Bromley - Farnborough and Crofton,00AFGR,E05000118,14850,2550,17.3,7,2121.4,4.4,15.1,75.1,395000,44590,18.1,43,48.9,1.3
Bromley - Hayes and Coney Hall,00AFGS,E05000119,16250,3000,18.5,10.8,1500,7.4,12,76.3,441250,45660,15.7,35,68.9,1.4
Bromley - Kelsey and Eden Park,00AFGT,E05000120,16250,3000,18.6,5.2,3105.8,7.1,15.2,75.5,421599,44700,17.1,59.9,42.7,1.3
Bromley - Mottingham and Chislehurst North,00AFGU,E05000121,10300,2400,23.1,2.4,4250,11.1,22.7,67.9,250000,32330,26,93,44,1
Bromley - Orpington,00AFGW,E05000122,15650,2900,18.5,4.3,3616.3,9.2,19.5,72.8,340000,38090,22.3,89.6,24.6,1.2
Bromley - Penge and Cator,00AFGX,E05000123,17900,3900,21.9,3,5883.3,10.4,25.2,70.4,320000,36090,17,89.9,24.9,0.8
Bromley - Petts Wood and Knoll,00AFGY,E05000124,13950,2550,18.3,4.3,3220.9,6.1,9.5,75.4,485000,48530,15.2,43,24.3,1.4
Bromley - Plaistow and Sundridge,00AFGZ,E05000125,15600,3250,20.9,4,3850,9.2,14.9,73.5,295444,39460,18.6,48.6,40.3,1
Bromley - Shortlands,00AFHA,E05000126,10150,1800,17.7,2.5,4020,3.9,11.7,76.3,468000,48020,12.1,33.8,3,1.3
Bromley - West Wickham,00AFHB,E05000127,15250,2600,17.1,4.4,3443.2,6.8,12,76.8,475000,46210,15.2,33.9,31.8,1.4
Camden - Belsize,00AGGD,E05000128,12800,2300,18,0.8,15937.5,10.9,18.7,74.4,850000,52680,8.4,60.9,1.3,0.6
Camden - Bloomsbury,00AGGE,E05000129,11700,750,6.5,1,11650,12,28.3,51.4,560000,40340,7.8,314.1,9.2,0.2
Camden - Camden Town with Primrose Hill,00AGGF,E05000130,13100,1900,14.6,1.2,10791.7,11.6,16.6,69.4,813500,45840,11.7,297,15.2,0.5
